coin_parse,coin_time,coin_value,update_time
BNB,2018-11-04,9.62754,2022-03-26
BNB,2018-11-05,9.67251,2022-03-26
BNB,2018-11-06,9.78081,2022-03-26
BNB,2018-11-07,9.81693,2022-03-26
BNB,2018-11-08,9.65095,2022-03-26
BNB,2018-11-09,9.5542,2022-03-26
BNB,2018-11-10,9.55752,2022-03-26
BNB,2018-11-11,9.466,2022-03-26
BNB,2018-11-12,9.36122,2022-03-26
BNB,2018-11-13,9.24841,2022-03-26
BNB,2018-11-14,8.40701,2022-03-26
BNB,2018-11-15,8.18486,2022-03-26
BNB,2018-11-16,7.88448,2022-03-26
BNB,2018-11-17,7.7182,2022-03-26
BNB,2018-11-18,7.99976,2022-03-26
BNB,2018-11-19,6.63209,2022-03-26
BNB,2018-11-20,5.76021,2022-03-26
BNB,2018-11-21,6.19905,2022-03-26
BNB,2018-11-22,5.75555,2022-03-26
BNB,2018-11-23,5.55743,2022-03-26
BNB,2018-11-24,5.11528,2022-03-26
BNB,2018-11-25,5.18058,2022-03-26
BNB,2018-11-26,4.92645,2022-03-26
BNB,2018-11-27,4.91305,2022-03-26
BNB,2018-11-28,5.33696,2022-03-26
BNB,2018-11-29,5.3466329536,2022-03-26
BNB,2018-11-30,5.0785724615,2022-03-26
BNB,2018-12-01,5.2887233305,2022-03-26
BNB,2018-12-02,5.2504168695,2022-03-26
BNB,2018-12-03,5.1092514534,2022-03-26
BNB,2018-12-04,5.8807909462,2022-03-26
BNB,2018-12-05,5.9842776866,2022-03-26
BNB,2018-12-06,4.9516866574,2022-03-26
BNB,2018-12-07,4.5286498852,2022-03-26
BNB,2018-12-08,4.700418388,2022-03-26
BNB,2018-12-09,4.8591044932,2022-03-26
BNB,2018-12-10,4.7122633177,2022-03-26
BNB,2018-12-11,4.9406975156,2022-03-26
BNB,2018-12-12,5.0231365311,2022-03-26
BNB,2018-12-13,4.6507035991,2022-03-26
BNB,2018-12-14,4.5333571453,2022-03-26
BNB,2018-12-15,4.5630115369,2022-03-26
BNB,2018-12-16,4.64525792,2022-03-26
BNB,2018-12-17,5.110017013,2022-03-26
BNB,2018-12-18,5.6002701876,2022-03-26
BNB,2018-12-19,5.4919010606,2022-03-26
BNB,2018-12-20,5.7922571544,2022-03-26
BNB,2018-12-21,5.5671441845,2022-03-26
BNB,2018-12-22,5.9305779587,2022-03-26
BNB,2018-12-23,6.0590076412,2022-03-26
BNB,2018-12-24,6.1449244251,2022-03-26
BNB,2018-12-25,5.5475751294,2022-03-26
BNB,2018-12-26,5.7131053902,2022-03-26
BNB,2018-12-27,5.275449999,2022-03-26
BNB,2018-12-28,6.0118279595,2022-03-26
BNB,2018-12-29,5.8323399308,2022-03-26
BNB,2018-12-30,5.9957106971,2022-03-26
BNB,2018-12-31,6.164731871,2022-03-26
BNB,2019-01-01,6.0752726027,2022-03-26
BNB,2019-01-02,6.1886134175,2022-03-26
BNB,2019-01-03,5.9035345932,2022-03-26
BNB,2019-01-04,6.0651377301,2022-03-26
BNB,2019-01-05,6.0655426232,2022-03-26
BNB,2019-01-06,6.3959790272,2022-03-26
BNB,2019-01-07,6.2914110381,2022-03-26
BNB,2019-01-08,6.6400539673,2022-03-26
BNB,2019-01-09,6.6415496504,2022-03-26
BNB,2019-01-10,5.9159190679,2022-03-26
BNB,2019-01-11,6.0753418439,2022-03-26
BNB,2019-01-12,5.976964557,2022-03-26
BNB,2019-01-13,5.5687568167,2022-03-26
BNB,2019-01-14,6.1592823042,2022-03-26
BNB,2019-01-15,5.919048321,2022-03-26
